time,value
2024-04-17T20:58:26.524569296Z,766
2024-04-17T20:58:27.650603943Z,769
2024-04-17T20:58:28.777292733Z,770
2024-04-17T20:58:29.903912945Z,770
2024-04-17T20:58:31.030247785Z,761
2024-04-17T20:58:32.156693266Z,770
2024-04-17T20:58:33.282929318Z,766
2024-04-17T20:58:34.409432679Z,770
2024-04-17T20:58:35.535933619Z,764
2024-04-17T20:58:36.661875176Z,769
2024-04-17T20:58:37.788526854Z,764
2024-04-17T20:58:38.915233007Z,771
2024-04-17T20:58:40.085627191Z,765
2024-04-17T20:58:41.167850295Z,770
2024-04-17T20:58:42.294777517Z,765
2024-04-17T20:58:43.421201417Z,768
2024-04-17T20:58:44.548041344Z,765
2024-04-17T20:58:45.673199462Z,767
2024-04-17T20:58:46.734030757Z,765
2024-04-17T20:58:47.823927156Z,770
2024-04-17T20:58:48.950095886Z,765
2024-04-17T20:58:50.078064149Z,769
2024-04-17T20:58:51.203540111Z,766
2024-04-17T20:58:52.329855478Z,771
2024-04-17T20:58:53.456509607Z,762
2024-04-17T20:58:54.582218689Z,753
2024-04-17T20:58:55.708485268Z,765
2024-04-17T20:58:56.835314716Z,773
2024-04-17T20:58:57.961471657Z,760
2024-04-17T20:58:59.087974635Z,768
2024-04-17T20:59:00.214335351Z,767
2024-04-17T20:59:01.341175135Z,771
2024-04-17T20:59:02.467423226Z,761
2024-04-17T20:59:03.594130827Z,760
2024-04-17T20:59:04.720229056Z,768
2024-04-17T20:59:05.876933176Z,769
2024-04-17T20:59:06.972599289Z,768
2024-04-17T20:59:08.09893178Z,781
2024-04-17T20:59:09.225354866Z,755
2024-04-17T20:59:10.35191325Z,771
2024-04-17T20:59:11.478127001Z,764
2024-04-17T20:59:12.604703843Z,769
2024-04-17T20:59:13.733399909Z,762
2024-04-17T20:59:14.857504156Z,769
2024-04-17T20:59:15.98361188Z,762
2024-04-17T20:59:17.110320994Z,773
2024-04-17T20:59:18.236560491Z,766
2024-04-17T20:59:19.363496433Z,768
2024-04-17T20:59:20.489443111Z,763
2024-04-17T20:59:21.5136867Z,768
2024-04-17T20:59:22.742995615Z,765
2024-04-17T20:59:23.767141714Z,767
2024-04-17T20:59:24.995152772Z,768
2024-04-17T20:59:26.020037116Z,767
2024-04-17T20:59:27.14732407Z,765
2024-04-17T20:59:28.272300622Z,769
2024-04-17T20:59:29.399583712Z,764
2024-04-17T20:59:30.525217439Z,768
2024-04-17T20:59:31.651331415Z,765
2024-04-17T20:59:32.777661787Z,767
2024-04-17T20:59:33.904180091Z,766
2024-04-17T20:59:35.030437393Z,772
2024-04-17T20:59:36.156736764Z,767
2024-04-17T20:59:37.288985297Z,768
2024-04-17T20:59:38.409948091Z,766
2024-04-17T20:59:39.536260118Z,766
2024-04-17T20:59:40.662676293Z,767
2024-04-17T20:59:41.788840204Z,766
2024-04-17T20:59:42.915138332Z,772
2024-04-17T20:59:44.041804991Z,770
2024-04-17T20:59:45.167911472Z,758
2024-04-17T20:59:46.294696079Z,768
2024-04-17T20:59:47.523415347Z,764
2024-04-17T20:59:48.547460388Z,766
2024-04-17T20:59:49.673773722Z,767
2024-04-17T20:59:50.800446918Z,769
2024-04-17T20:59:51.9295795Z,763
2024-04-17T20:59:53.052812433Z,770
2024-04-17T20:59:54.179933595Z,765
2024-04-17T20:59:55.305992644Z,767
2024-04-17T20:59:56.432143357Z,763
2024-04-17T20:59:57.558481237Z,766
2024-04-17T20:59:58.684958672Z,764
2024-04-17T20:59:59.709352554Z,769
2024-04-17T21:00:00.937978451Z,765
2024-04-17T21:00:01.962533291Z,769
2024-04-17T21:00:03.088489787Z,765
2024-04-17T21:00:04.21465495Z,773
2024-04-17T21:00:05.341655529Z,767
2024-04-17T21:00:06.46874399Z,769
2024-04-17T21:00:07.594749371Z,766
2024-04-17T21:00:08.720359359Z,767
2024-04-17T21:00:09.847256609Z,764
2024-04-17T21:00:10.97289513Z,771
2024-04-17T21:00:12.099280394Z,766
2024-04-17T21:00:13.22560814Z,766
2024-04-17T21:00:14.353160396Z,768
2024-04-17T21:00:15.478393062Z,772
2024-04-17T21:00:16.605581028Z,769
2024-04-17T21:00:17.731562131Z,760
2024-04-17T21:00:18.85789633Z,770
2024-04-17T21:00:19.985201399Z,768
2024-04-17T21:00:21.111840068Z,768
2024-04-17T21:00:22.237505942Z,766
2024-04-17T21:00:23.36415098Z,752
2024-04-17T21:00:24.490879829Z,765
2024-04-17T21:00:25.616787226Z,765
2024-04-17T21:00:26.743480197Z,770
2024-04-17T21:00:27.869197609Z,763
2024-04-17T21:00:28.995722187Z,768
2024-04-17T21:00:30.122505563Z,765
2024-04-17T21:00:31.248791194Z,766
2024-04-17T21:00:32.37540745Z,764
2024-04-17T21:00:33.501347339Z,765
2024-04-17T21:00:34.627524922Z,766
2024-04-17T21:00:35.753822681Z,772
2024-04-17T21:00:36.883655045Z,765
2024-04-17T21:00:37.904423606Z,770
2024-04-17T21:00:39.133217865Z,764
2024-04-17T21:00:40.157280227Z,765
2024-04-17T21:00:41.28393241Z,766
2024-04-17T21:00:42.410014227Z,767
2024-04-17T21:00:43.536762374Z,766
2024-04-17T21:00:44.662792989Z,767
2024-04-17T21:00:45.789412525Z,772
2024-04-17T21:00:46.915545388Z,769
2024-04-17T21:00:48.144430083Z,765
2024-04-17T21:00:49.168405291Z,773
2024-04-17T21:00:50.295666177Z,766
2024-04-17T21:00:51.421591547Z,774
2024-04-17T21:00:52.547718672Z,768
2024-04-17T21:00:53.674186352Z,757
2024-04-17T21:00:54.800448816Z,767
2024-04-17T21:00:55.927193922Z,769
2024-04-17T21:00:57.053333565Z,770
2024-04-17T21:00:58.179767081Z,772
2024-04-17T21:00:59.305989128Z,754
2024-04-17T21:01:00.432541317Z,766
2024-04-17T21:01:01.571720695Z,764
2024-04-17T21:01:02.685248566Z,767
2024-04-17T21:01:03.811905644Z,765
2024-04-17T21:01:04.938024404Z,770
2024-04-17T21:01:06.06567857Z,767
2024-04-17T21:01:07.191782686Z,765
2024-04-17T21:01:08.318172895Z,762
2024-04-17T21:01:09.444096087Z,769
2024-04-17T21:01:10.570135163Z,765
2024-04-17T21:01:11.696411389Z,771
2024-04-17T21:01:12.824878414Z,764
2024-04-17T21:01:13.847385534Z,765
2024-04-17T21:01:15.081618611Z,762
2024-04-17T21:01:16.100800225Z,768
2024-04-17T21:01:17.328629721Z,767
2024-04-17T21:01:18.455794484Z,772
2024-04-17T21:01:19.479798323Z,764
2024-04-17T21:01:20.605743222Z,769
2024-04-17T21:01:21.732655756Z,764
2024-04-17T21:01:22.858609343Z,767
2024-04-17T21:01:23.984705519Z,767
2024-04-17T21:01:25.111194354Z,771
2024-04-17T21:01:26.238524293Z,763
2024-04-17T21:01:27.363966745Z,768
2024-04-17T21:01:28.490476803Z,767
2024-04-17T21:01:29.616560028Z,771
2024-04-17T21:01:30.743534336Z,765
2024-04-17T21:01:31.869504729Z,748
2024-04-17T21:01:32.995879099Z,768
2024-04-17T21:01:34.122064828Z,772
2024-04-17T21:01:35.248472552Z,768
2024-04-17T21:01:36.375034044Z,770
2024-04-17T21:01:37.501810656Z,749
2024-04-17T21:01:38.628036016Z,771
2024-04-17T21:01:39.754252046Z,766
2024-04-17T21:01:40.881083578Z,768
2024-04-17T21:01:42.007141033Z,764
2024-04-17T21:01:43.133535236Z,769
2024-04-17T21:01:44.259976627Z,766
2024-04-17T21:01:45.386531207Z,769
2024-04-17T21:01:46.512883723Z,768
2024-04-17T21:01:47.639289872Z,771
2024-04-17T21:01:48.765491759Z,765
2024-04-17T21:01:49.891828389Z,768
2024-04-17T21:01:51.018416424Z,763
2024-04-17T21:01:52.042554564Z,766
2024-04-17T21:01:53.272723202Z,766
2024-04-17T21:01:54.295150183Z,768
2024-04-17T21:01:55.523977953Z,764
2024-04-17T21:01:56.548377707Z,769
2024-04-17T21:01:57.674419243Z,764
2024-04-17T21:01:58.800909375Z,768
2024-04-17T21:01:59.927485183Z,767
2024-04-17T21:02:01.063350802Z,771
2024-04-17T21:02:02.180677158Z,765
2024-04-17T21:02:03.306658509Z,771
2024-04-17T21:02:04.432950529Z,767
2024-04-17T21:02:05.559421339Z,769
2024-04-17T21:02:06.685685608Z,767
2024-04-17T21:02:07.812210625Z,777
2024-04-17T21:02:08.938526751Z,768
2024-04-17T21:02:10.065121603Z,762
2024-04-17T21:02:11.191011656Z,770
2024-04-17T21:02:12.317618681Z,771
2024-04-17T21:02:13.445359868Z,768
2024-04-17T21:02:14.57059428Z,770
2024-04-17T21:02:15.697066476Z,752
2024-04-17T21:02:16.823232222Z,770
2024-04-17T21:02:17.949700898Z,764
2024-04-17T21:02:19.076556213Z,769
2024-04-17T21:02:20.202675075Z,765
2024-04-17T21:02:21.329278891Z,770
2024-04-17T21:02:22.455640596Z,763
2024-04-17T21:02:23.656309954Z,769
2024-04-17T21:02:24.708332696Z,763
2024-04-17T21:02:25.835232405Z,767
2024-04-17T21:02:26.961146486Z,764
2024-04-17T21:02:28.087874551Z,767
2024-04-17T21:02:29.213702935Z,763
2024-04-17T21:02:30.238422217Z,763
2024-04-17T21:02:31.467199265Z,764
2024-04-17T21:02:32.491284229Z,769
2024-04-17T21:02:33.720255339Z,764
2024-04-17T21:02:34.74424933Z,769
2024-04-17T21:02:35.870664422Z,765
2024-04-17T21:02:36.997222679Z,769
2024-04-17T21:02:38.122797499Z,764
2024-04-17T21:02:39.249405781Z,770
2024-04-17T21:02:40.375751188Z,764
2024-04-17T21:02:41.502481364Z,768
2024-04-17T21:02:42.628514826Z,765
2024-04-17T21:02:43.755312245Z,770
2024-04-17T21:02:44.881468466Z,766
2024-04-17T21:02:46.008303963Z,770
2024-04-17T21:02:47.134341565Z,767
2024-04-17T21:02:48.260437763Z,757
2024-04-17T21:02:49.386674678Z,765
2024-04-17T21:02:50.513262073Z,770
2024-04-17T21:02:51.640661417Z,755
2024-04-17T21:02:52.766777557Z,772
2024-04-17T21:02:53.893200151Z,765
2024-04-17T21:02:55.019028472Z,769
2024-04-17T21:02:56.145274022Z,767
2024-04-17T21:02:57.271576582Z,766
2024-04-17T21:02:58.397870906Z,763
2024-04-17T21:02:59.52461882Z,774
2024-04-17T21:03:00.650926103Z,766
2024-04-17T21:03:01.777825554Z,769
2024-04-17T21:03:02.904381352Z,767
2024-04-17T21:03:04.033693781Z,769
2024-04-17T21:03:05.156565586Z,765
2024-04-17T21:03:06.18063702Z,759
2024-04-17T21:03:07.40908052Z,769
2024-04-17T21:03:08.434101509Z,777
2024-04-17T21:03:09.662559481Z,766
